Date,Strategy A (Equal Wt),Strategy B (Take-Profit),Strategy C (Proportional),BM1: EW Fixed,BM2: EW Rebal
2025-04-02,1.052724088826918,1.0452304886770467,1.0952270559942596,1.0664331047366815,1.0664331047366806
2025-04-03,1.028581930097391,1.0447235883172392,1.098765818842045,1.038978702961454,1.0389787029614537
2025-04-04,0.9628208204333089,1.0328239587267207,1.0406612101038115,0.9777711613130194,0.977771161313019
2025-04-07,0.9535409012490658,1.0320886617978673,1.0253467498345215,0.965922901534125,0.9659229015341245
2025-04-08,0.9440028960955328,1.026418400599135,1.020671900854856,0.9558292077214143,0.9558292077214139
2025-04-09,0.9980979624416112,1.0341149460997063,1.057819764948806,1.0058522268668897,1.005852226866889
2025-04-10,0.9650854118866149,1.0231059334685983,1.042996408916019,0.9856540910981171,0.9856540910981165
2025-04-11,0.9774838804341419,1.0274067549909562,1.057116489767218,1.0000114231531445,1.0000114231531436
2025-04-14,0.9862340590417491,1.027380819723206,1.0708909764899346,1.0128192173181807,1.01281921731818
2025-04-15,0.9759456645652641,1.02535643331924,1.0615526126598203,1.008063406326124,1.0080634063261233
2025-04-16,0.973401584767863,1.020307490596757,1.0603150970472766,0.9994470565274396,0.999447056527439
2025-04-17,0.9957767666521581,1.0244175363531836,1.083582718235209,1.0132368265514387,1.0132368265514378
2025-04-21,0.984941301725301,1.024023542628503,1.0763802015715107,0.9994688443579473,0.9994688443579465
2025-04-22,1.0010662496959088,1.0269699981140759,1.0908104639351957,1.0233837156069863,1.0233837156069856
2025-04-23,1.0070800106410658,1.026371764361634,1.0886103018463384,1.0244268932144964,1.0244268932144955
2025-04-24,1.0152346504536987,1.0292394474663977,1.0883165512844726,1.0296201695839076,1.029620169583907
2025-04-25,1.0218936641988465,1.0367164125254613,1.0878932777586163,1.0289765110728366,1.028976511072836
2025-04-28,1.0306966239841695,1.0378440976516017,1.0932227280202094,1.0343998910568366,1.0343998910568357
2025-04-29,1.0352978309985514,1.041636679460605,1.098843775964511,1.042102803893673,1.042102803893672
2025-04-30,1.0341938351380482,1.0428416785811474,1.1003753802725889,1.0426502733151704,1.0426502733151692
2025-05-01,1.023352821413318,1.0380926324126132,1.0863051074820578,1.0370396814406668,1.0370396814406657
2025-05-02,1.0326300398898658,1.0378931273294372,1.0953681965338986,1.0447516430194195,1.0447516430194188
2025-05-05,1.027088439219563,1.0370446522808878,1.0915680724799561,1.0412258894889264,1.0412258894889255
2025-05-06,1.0166212829610946,1.0275304720783818,1.0862565013748202,1.0395494733835877,1.039549473383587
2025-05-07,1.0223274103653577,1.027738470078468,1.096918491425826,1.0477313996850632,1.0477313996850623
2025-05-08,1.0215709278806162,1.0239195418570315,1.0888832207496857,1.047132506504721,1.0471325065047203
2025-05-09,1.0189134961730746,1.0194889352526824,1.0825911130493233,1.045302535826094,1.0453025358260932
2025-05-12,1.0363648929276652,1.0314592468110184,1.085454144623794,1.056517129720566,1.0565171297205658
2025-05-13,1.0233817760749968,1.0217127424583827,1.0680011670704894,1.0531175725256143,1.0531175725256139
2025-05-14,1.0107738351817241,1.009125363859338,1.038551779011034,1.0498589257894178,1.0496798301491452
